Date,OAT,kW
1/4/2016 11:30,58.89999962,405.9
1/4/2016 11:45,59.60000229,437.7
1/4/2016 12:00,61.35000038,459.6
1/4/2016 12:15,61.60000229,459
1/4/2016 12:30,62.90000153,462.6
1/4/2016 12:45,62.10000229,453.3
1/4/2016 13:00,63.10000229,456
1/4/2016 13:15,62.10000229,459
1/4/2016 13:30,63.45000076,467.1
1/4/2016 13:45,62.20000076,455.1
1/4/2016 14:00,60.70000076,450.3
1/4/2016 14:15,60.40000153,450.9
1/4/2016 14:30,60.20000076,444.3
1/4/2016 14:45,59.79999924,447.3
1/4/2016 15:00,60.30000114,447.3
1/4/2016 15:15,59.10000229,466.8
1/4/2016 15:30,58.85000038,445.8
1/4/2016 15:45,58.5,447.3
1/4/2016 16:00,59.15000153,444.6
1/4/2016 16:15,57.60000229,439.8
1/4/2016 16:30,57.10000038,449.7
1/4/2016 16:45,56.79999924,445.2
1/4/2016 17:00,56.20000076,446.1
1/4/2016 17:15,55.40000153,439.5
1/4/2016 17:30,55.15000153,432.3
1/4/2016 17:45,54.90000153,434.4
1/4/2016 18:00,54.60000229,432.6
1/4/2016 18:15,54.90000153,434.1
1/4/2016 18:30,54.75,427.5
1/4/2016 18:45,54.29999924,417
1/4/2016 19:00,53.75,417
1/4/2016 19:15,53.79999924,427.2
1/4/2016 19:30,53.80000114,432.6
1/4/2016 19:45,54,424.5
1/4/2016 20:00,54.25,419.4
1/4/2016 20:15,54.40000153,352.5
1/4/2016 20:30,54.30000114,350.4
1/4/2016 20:45,54.40000153,340.5
1/4/2016 21:00,54.35000038,309.6
1/4/2016 21:15,54.40000153,291
1/4/2016 21:30,54.80000114,291
1/4/2016 21:45,54.70000076,295.5
1/4/2016 22:00,54.40000153,286.5
1/4/2016 22:15,54.10000229,280.8
1/4/2016 22:30,54.15000153,279.9
1/4/2016 22:45,53.90000153,274.8
1/4/2016 23:00,53.60000229,277.5
1/4/2016 23:15,53.60000229,276.9
1/4/2016 23:30,53.95000076,282.9
1/4/2016 23:45,54,276
1/5/2016 0:00,53.80000114,284.4
1/5/2016 0:15,52.79999924,276
1/5/2016 0:30,52.75,279.9
1/5/2016 0:45,52.79999924,277.2
1/5/2016 1:00,52.39999962,277.8
1/5/2016 1:15,52.10000229,276.3
1/5/2016 1:30,52.35000038,275.7
1/5/2016 1:45,52.70000076,265.5
1/5/2016 2:00,52.75,263.1
1/5/2016 2:15,52.90000153,265.2
1/5/2016 2:30,52.60000038,266.1
1/5/2016 2:45,52.40000153,268.8
1/5/2016 3:00,52.25,272.4
1/5/2016 3:15,52.20000076,277.5
1/5/2016 3:30,52.25,275.1
1/5/2016 3:45,52.10000229,268.8
1/5/2016 4:00,51.89999962,270
1/5/2016 4:15,51.79999924,294.3
1/5/2016 4:30,51.64999962,291
